What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,birth_day,birth_month,birth_year,Give a random number,bedtime,good_day_1,good_day_2
,,,,,,,,,,,,,
Quantitative Risk Management,no,0,mu,nee,male,neither,10,12,1994,7,01:00,productive,sleep
Computer Science,no,0,unknown,ja,male,I have no idea what you are talking about,6,8,1993,394749,01:00,got a 8.5,got 2 8.5s
Business Analytics,yes,1,sigma,ja,male,neither,25,12,1992,6,23:00,food,sports
Business Analytics,yes,1,mu,ja,male,I have no idea what you are talking about,1,2,1995,8,00:30,NA,NA
Computer Science Big Data Engineering,no,0,sigma,ja,male,I have no idea what you are talking about,9,1,1994,8,00:00,sleep well,beer
Drug discovery and safety,no,0,mu,nee,male,fat,17,8,1994,No,09:00,chocolate,nothing
Computer Science,yes,1,mu,nee,male,neither,27,9,1993,6739,23:00,chocolate,chocolate
Computational Science,no,0,mu,ja,male,fat,14,5,1994,3,00:00,sunshine,seeing friends
Financial Economtrics,no,0,mu,nee,male,neither,11,4,1931,78952097,01:00,beer,"following 4 courses at the same time, rain"
Bioinformatics,yes,1,unknown,ja,male,slim,19,8,1993,5,02:00,free time,free time
Econometrics,no,0,mu,nee,female,I have no idea what you are talking about,16,5,1990,8,00:00,good coffee,sunshine
Computer Science,no,0,mu,ja,female,slim,30,3,1995,42,23:45,cats,good coffee
Bioinformatics ,yes,0,mu,nee,female,fat,16,10,NA,37,00:30,sunshine,food
Artificial Intelligence,yes,1,sigma,ja,male,I have no idea what you are talking about,NA,NA,NA,7727528,01:00,all grades,all grades
Econometrics and operations research,yes,0,mu,nee,male,I have no idea what you are talking about,2,4,NA,187,20:00,food,wine
Bioinformatics,no,0,mu,nee,female,fat,5,2,1994,7,23:30,pancakes for breakfast,no wind
Business Analytics,yes,1,mu,ja,female,I have no idea what you are talking about,22,1,NA,7,01:30,sleep well,netflix
Business Analytics,yes,1,mu,ja,male,fat,7,10,1994,6,01:30,sleep well,relax
Artificial Intelligence,yes,1,mu,ja,female,fat,23,2,1995,34,23:30,sleep,go to the gym
Computer Science,no,0,mu,ja,male,neither,24,3,1994,7,NA,pizza,beer
Computational Science,no,0,mu,nee,male,I have no idea what you are talking about,1,4,1996,6.28E+36,23:59,pancakes for breakfast,pizza
Big Data Engineering,yes,0,mu,ja,male,I have no idea what you are talking about,7,12,1995,2,23:20,food,food
Artificial Intelligence,yes,1,mu,nee,male,I have no idea what you are talking about,4,11,1992,2,02:00,sex,food
Artificial Intelligence,no,0,mu,nee,female,I have no idea what you are talking about,5,11,1993,6,23:30,puppies,sunshine
Computational Science,no,0,mu,nee,female,neither,NA,11,NA,7,23:30,nice grades,food
Computer Science ,no,0,mu,ja,male,fat,21,9,1994,4,01:30,good coffee,sleep
Business Analytics,yes,1,mu,nee,male,slim,19,1,NA,Hoi,23:30,cheese,beer
Business Analytics ,yes,1,mu,nee,female,fat,14,4,NA,9,22:20,good coffee,food
Artificial Intelligence,yes,1,mu,ja,male,fat,23,12,NA,4,23:30,food,good coffee
Econometrics,no,0,mu,nee,female,fat,29,1,1991,3,01:20,food,lovely people
Computational Science,no,0,mu,ja,male,fat,7,11,1991,9.29E+12,23:55,sunshine,beer
Business Analytics,yes,1,mu,ja,male,I have no idea what you are talking about,15,2,NA,5,01:00,beer,beer
Business Analytics,yes,1,mu,ja,female,I have no idea what you are talking about,3,10,NA,3,23:00,beer,seeing friends
Artificial Intelligence,yes,1,mu,ja,female,I have no idea what you are talking about,14,1,NA,347,02:00,nice grades,music
NA,no,0,mu,nee,male,neither,21,5,1995,19,NA,food,no alarm in the morning
Big Data Engineering,yes,1,mu,ja,male,neither,NA,11,1992,9,01:00,beer,free time
Business Analytics,yes,1,mu,ja,male,fat,NA,NA,1995,1,01:00,food,sex
Artificial Intelligence,no,1,mu,ja,female,fat,10,1,1995,2,01:00,food,sleep
Artificial Intelligence,yes,1,mu,ja,male,I have no idea what you are talking about,14,23,2030,11,01:00,no homework,a blunt
Artificial Intelligence,yes,1,mu,nee,female,neither,20,8,NA,2,01:15,good weather,no school 
