"Timestamp","What.programme.are.you.in.","Have.you.taken.a.course.on.machine.learning.","Have.you.taken.a.course.on.information.retrieval.","Have.you.taken.a.course.on.statistics.","Have.you.taken.a.course.on.databases.","What.is.your.gender.","Chocolate.makes.you.....","When.is.your.birthday..date..","Number.of.neighbors.sitting.around.you.","Did.you.stand.up.","You.can.get..100.if.you.win.a.local.DM.competition..or.we.don.t.hold.any.competitions.and.I.give.everyone.some.money..not.the.same.amount....How.much.do.you.think.you.would.get.then..","Give.a.random.number","Time.you.went.to.be.Yesterday","What.makes.a.good.day.for.you..1..","What.makes.a.good.day.for.you..2.."
"","","","","","","","","","","","","","","well rested and structured","well rested and structured"
"4/5/2018 11:22:56","Duisenberg Quantitative Risk Management","no","0","mu","nee","male","neither","10/12/1994","49000","no","0.05","7","1","productive","sleep"
"4/5/2018 11:23:04","Computer Science","no","0","unknown","ja","male","I have no idea what you are talking about","06-08-1993","100","yes","The formmer","394749","1 a m","got a 8.5","got 2 8.5s"
"4/5/2018 11:23:06","Business Analytics","yes","1","sigma","ja","male","neither","25 december 92","5","no","Not enough","6","23","food","sports"
"4/5/2018 11:23:50","BA","yes","1","mu","ja","male","I have no idea what you are talking about","01-02-1995","2","no","0","8","0.3","-","-"
"4/5/2018 11:23:59","Master Computer Science: Big Data Engineering","no","0","sigma","ja","male","I have no idea what you are talking about","09.01.1994","6","no","0","8","0:00","sleep well","beer"
"4/5/2018 11:24:34","Drug discovery and safety","no","0","mu","nee","male","fat","17-08-1994","4","no","100","No","09:00","chocolate","nothing"
"4/5/2018 11:25:25","CS","yes","1","mu","nee","male","neither","27-09-1993","5","no","£1","6739","2300","chocolate","chocolate"
"4/5/2018 11:25:25","Computational Science","no","0","mu","ja","male","fat","14 May 1994","5","yes","0.25","3","12","sunshine","seeing friends"
"4/5/2018 11:25:36","M Financial Economtrics","no","0","mu","nee","male","neither","11-04-1931","2","no","0,25 pond","78952097","1 AM","beer","following 4 courses at the same time, rain"
"4/5/2018 11:25:51","MSc Bioinformatics and Systems Biology","yes","1","unknown","ja","male","slim","19/08/1993","7","no","0.3","5","2:00","free time","free time"
"4/5/2018 11:25:54","Econometrics","no","0","mu","nee","female","I have no idea what you are talking about","16-05-1990","8","yes","0.003","8","00:00","good coffee","sunshine"
"4/5/2018 11:26:10","CS","no","0","mu","ja","female","slim","30/03/1995","6","no","1","42","23.45","cats","good coffee"
"4/5/2018 11:26:23","Bioinformatics ","yes","0","mu","nee","female","fat","October 16","8","no","2","37","0.3","sunshine","food"
"4/5/2018 11:26:30","AI","yes","1","sigma","ja","male","I have no idea what you are talking about","this year","6","no","more","7727528","01:00","all grades","all grades"
"4/5/2018 11:26:39","EOR","yes","0","mu","nee","male","I have no idea what you are talking about","02-04","2","no","99","187","8","food","wine"
"4/5/2018 11:26:40","Bioinformatics","no","0","mu","nee","female","fat","05-02-1994","1","no","0.25","7","23:30","pancakes for breakfast","no wind"
"4/5/2018 11:26:43","BA","yes","1","mu","ja","female","I have no idea what you are talking about","22-01","1","yes","100","7","01:30","sleep well","netflix"
"4/5/2018 11:26:44","BA","yes","1","mu","ja","male","fat","7-10-1994","3","no","80","6","1:00","sleep well","relax"
"4/5/2018 11:26:47","AI","yes","1","mu","ja","female","fat","23-02-1995","2","no","0,50","34","23:30","sleep","go to the gym"
"4/5/2018 11:26:54","CS","no","0","mu","ja","male","neither","24-03-1994","1","no","1","7","I didn't","pizza","beer"
"4/5/2018 11:27:04","Computational Science","no","0","mu","nee","male","I have no idea what you are talking about","1996-01-04","7","unknown","100/N","6283949577437363939374648394747483927","23:59","pancakes for breakfast","pizza"
"4/5/2018 11:27:06","Big Data Engineering","yes","0","mu","ja","male","I have no idea what you are talking about","07-12-1995","2","no","£200","2","23:20","food","food"
"4/5/2018 11:27:06","AI","yes","1","mu","nee","male","I have no idea what you are talking about","04.11.1992","1","no","70","2","2 a.m.","sex","food"
"4/5/2018 11:27:08","AI","no","0","mu","nee","female","I have no idea what you are talking about","05-11-1993","5","no",",50","6","23:30","puppies","sunshine"
"4/5/2018 11:27:10","Computational Science","no","0","mu","nee","female","neither","3 november","8","no","0.25","7","23.3","nice grades","food"
"4/5/2018 11:27:11","MSc Computer Science ","no","0","mu","ja","male","fat","21/09/1994","8","unknown","10","4","1:30","good coffee","sleep"
"4/5/2018 11:27:12","BA","yes","1","mu","nee","male","slim","19-10","2","no","110","Hoi","23:30","cheese","beer"
"4/5/2018 11:27:12","Business Analytics ","yes","1","mu","nee","female","fat","14-04","2","no","10","9","22.2","good coffee","food"
"4/5/2018 11:27:13","AI","yes","1","mu","ja","male","fat","23-12","5","no","1234","4","23:30","food","good coffee"
"4/5/2018 11:27:14","Econometrics","no","0","mu","nee","female","fat","29-10-1991","1","no","1/4","3","01:20","food","lovely people"
"4/5/2018 11:27:14","Computational Science","no","0","mu","ja","male","fat","07-11-1991","7","no","110","9293746289201","23:55","sunshine","beer"
"4/5/2018 11:27:15","BA","yes","1","mu","ja","male","I have no idea what you are talking about","15 february","4","no","100","5","01:00","beer","beer"
"4/5/2018 11:27:16","BA","yes","1","mu","ja","female","I have no idea what you are talking about","03-10","0","no","25","3","23:00","beer","seeing friends"
"4/5/2018 11:27:16","AI","yes","1","mu","ja","female","I have no idea what you are talking about","14-01","3","no","0.3","347","02:00","nice grades","music"
"4/5/2018 11:27:18","21-05-1995","no","0","mu","nee","male","neither","21-05-1995","7","no","0.25€","19","Not","food","no alarm in the morning"
"4/5/2018 11:27:18","Computer Science: Big Data Engineering","yes","1","mu","ja","male","neither","9 november 1992","1","no","1","9","1:00","beer","free time"
"4/5/2018 11:27:18","Master Business Analytics ","yes","1","mu","ja","male","fat","1995","0","no","0","1","1:00","food","sex"
"4/5/2018 11:27:18","AI","no","1","mu","ja","female","fat","10/01/1995","5","no","100","2","01:00","food","sleep"
"4/5/2018 11:27:18","AI","yes","1","mu","ja","male","I have no idea what you are talking about","23-14-2030","6.5","no","3","11","01:00","no homework","a blunt"
