,srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,click_bool,gross_bookings_usd,booking_bool
1000461,66834,2013-01-12 11:56:55,14,100,,,100,5792,3,4.0,0,3.87,0.2284,5.0,34,90.37,0,19898,1,0,2,0,1,1,,0.28,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
2746600,184403,2013-05-14 19:41:51,5,219,,,55,41283,4,4.0,1,0.69,0.0044,4.99,16,115.0,1,11244,1,52,2,0,1,1,-42.4502,5391.04,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
592531,39560,2012-12-20 17:12:50,5,219,,,219,3629,3,3.5,1,2.08,0.0157,4.71,20,89.0,0,12972,1,16,2,0,1,1,-20.0078,195.14,1,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,0,,0
4521251,303295,2013-02-07 09:21:23,5,219,,,219,4557,4,4.0,1,2.77,0.2162,5.26,15,133.0,0,17712,3,28,3,0,2,1,,,0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0,,0
4532351,304041,2013-02-08 17:48:15,24,216,,,205,91515,3,4.0,1,4.44,0.6851,5.28,1,156.02,1,17796,4,50,2,0,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
3236017,217343,2013-04-29 15:19:05,5,219,,,219,25159,4,4.0,1,5.18,0.3243,5.61,7,189.0,0,9402,1,12,2,2,1,1,,41.72,0,,,,0.0,0.0,20.0,0.0,0.0,8.0,,,,0.0,0.0,,,,,,,,0.0,0.0,20.0,0,,0
1545934,103740,2013-01-06 10:40:30,5,219,,,219,53034,3,4.5,1,1.79,0.0725,4.98,21,107.0,0,18434,7,77,2,1,1,0,,694.94,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
4647996,311791,2013-01-06 16:19:06,15,55,,,219,135904,3,4.0,1,5.1,0.0667,5.35,33,168.73,0,9402,1,150,2,0,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
4721344,316740,2013-04-03 00:25:47,22,92,,,219,34348,3,4.0,0,4.71,0.3924,5.3,26,132.66,0,18933,1,185,2,0,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
3179056,213472,2012-11-09 22:01:33,5,219,,,219,35818,3,4.5,1,2.71,0.1046,5.39,2,118.0,1,20613,1,40,1,0,1,0,-53.5077,268.92,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
772259,51655,2013-01-21 12:47:08,14,100,,,219,12957,2,2.5,0,5.18,0.2932,5.17,25,171.22,0,9402,4,97,3,0,1,0,,1005.13,1,,,,1.0,0.0,104.0,,,,,,,1.0,1.0,23.0,,,,,,,1.0,0.0,23.0,0,,0
4647761,311775,2013-06-03 19:30:10,5,219,,,219,113349,4,4.0,1,2.71,0.21600000000000003,0.0,1,99.0,0,25964,1,61,1,0,1,1,,,0,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
1070710,71500,2013-01-16 21:49:03,5,219,,,219,26101,2,4.0,1,0.69,0.0129,4.38,21,70.0,0,19575,1,3,2,2,1,1,,244.58,0,,,,0.0,0.0,,0.0,0.0,,,,,-1.0,0.0,7.0,,,,,,,-1.0,0.0,7.0,0,,0
2352632,157976,2013-04-28 21:04:25,5,219,,,219,71991,4,4.5,1,4.32,0.449,5.61,20,170.0,0,10424,1,20,1,0,1,1,,86.62,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
4832454,324282,2013-06-27 20:21:37,5,219,,,219,77147,3,3.0,1,2.94,,0.0,30,140.0,0,26882,1,6,2,0,1,0,,40.18,0,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0,,0
3610064,242512,2013-04-30 15:09:52,5,219,,,219,65773,2,3.5,1,2.83,0.7082,4.75,1,71.0,0,26829,3,12,2,0,1,0,,69.47,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
3109004,208762,2012-12-21 14:24:58,5,219,,,219,13805,3,4.0,1,1.95,,4.67,28,76.0,0,18552,1,5,2,0,1,0,,167.39,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
3911914,262594,2013-04-17 11:42:43,5,219,,,219,112378,4,4.0,1,2.56,0.0448,5.21,8,159.0,0,19994,3,1,2,1,1,1,,994.67,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
3191800,214347,2013-01-10 09:24:07,14,100,,,219,45210,4,4.5,1,2.48,,5.04,20,120.02,0,19191,1,2,4,0,1,1,,218.08,0,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
4342704,291382,2013-04-21 09:33:36,14,100,,,100,128741,3,4.0,1,2.56,0.0447,4.9,33,101.31,1,13927,3,3,1,2,1,0,,224.86,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0
1870092,125518,2012-12-28 18:59:39,5,219,,,219,117121,2,3.5,1,0.0,,4.27,3,80.0,0,8745,2,35,2,0,1,1,,1024.79,0,,,,0.0,0.0,,0.0,0.0,,,,,1.0,0.0,17.0,,,,,,,,,,0,,0
4881639,327672,2013-04-19 09:52:39,5,219,,,149,131389,0,0.0,0,0.0,,5.72,18,200.0,0,24803,2,67,2,0,1,0,,775.3,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1433401,96106,2013-05-27 11:24:17,14,100,,,206,73840,4,4.5,0,4.56,,4.64,33,48.35,0,18707,1,5,1,0,1,1,,5629.36,0,,,,,,,,,,,,,,1.0,,,,,,,,,,,0,,0
3163741,212409,2013-05-20 13:57:18,32,220,,,39,57378,5,0.0,1,4.32,,5.77,25,179.5,0,15122,1,5,1,0,1,1,,3767.11,0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,,,,,,,,,,,0,,0
1026533,68543,2013-05-01 13:39:59,5,219,,,219,119724,2,4.0,1,1.39,0.011000000000000001,4.63,18,59.0,0,20820,1,7,2,0,1,0,-18.3644,557.18,0,,,,0.0,0.0,,0.0,0.0,,,,,-1.0,0.0,7.0,,,,,,,-1.0,0.0,7.0,0,,0
182408,12263,2013-05-19 20:23:40,5,219,,,219,44773,3,4.5,1,2.08,,5.08,3,188.0,1,11942,1,17,2,1,1,0,,2314.17,0,,,,,,,1.0,0.0,11.0,,,,1.0,0.0,11.0,,,,,,,1.0,0.0,11.0,0,,0
2097757,140810,2012-12-04 16:42:34,5,219,,,219,24393,4,5.0,1,2.77,,5.42,27,169.0,0,15643,3,44,3,0,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
2766141,185719,2013-05-17 08:41:16,5,219,,,219,35042,3,4.5,0,4.38,,5.6,15,189.0,0,22171,3,13,2,0,1,1,,392.27,0,,,,1.0,0.0,59.0,-1.0,0.0,10.0,,,,-1.0,0.0,20.0,,,,,,,-1.0,0.0,20.0,0,,0
1418434,95096,2013-05-07 15:57:43,5,219,,,219,11583,2,3.5,1,1.61,0.2023,4.79,4,146.0,0,23270,1,33,2,0,1,0,-34.5856,77.91,0,,,,,1.0,,-1.0,0.0,14.0,,,,-1.0,0.0,12.0,,,,,,,-1.0,0.0,12.0,0,,0
2422198,162690,2013-06-09 11:23:30,24,216,,,219,135420,4,4.0,1,2.56,,0.0,26,125.1,0,3886,1,64,1,0,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
4115981,276151,2012-12-12 16:11:20,24,216,,,219,125656,3,4.0,1,3.99,0.1502,5.4,18,112.0,0,9358,3,37,1,0,1,1,,,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
2292267,153916,2013-05-29 08:16:25,15,55,,,132,68751,4,4.0,0,0.69,0.0013,4.99,36,92.3,1,1815,2,35,2,0,1,0,,,1,,,,,,,,,,,,,0.0,0.0,7.0,,,,,,,,,,0,,0
